Start station,Start time,End station,End time
291,2016-09-01 16:06:03 +0200,235,2016-09-01 16:36:01 +0200
291,2016-09-01 17:09:13 +0200,267,2016-09-01 17:47:02 +0200
291,2016-09-01 17:17:08 +0200,242,2016-09-01 17:52:40 +0200
291,2016-09-01 17:23:19 +0200,164,2016-09-01 17:27:24 +0200
291,2016-09-01 17:23:19 +0200,183,2016-09-01 17:32:14 +0200
238,2016-09-01 17:28:34 +0200,291,2016-09-01 17:42:31 +0200
291,2016-09-01 17:30:22 +0200,164,2016-09-01 17:34:23 +0200
291,2016-09-01 17:44:35 +0200,233,2016-09-01 18:20:51 +0200
295,2016-09-01 17:54:46 +0200,291,2016-09-01 20:27:26 +0200
164,2016-09-01 18:12:33 +0200,291,2016-09-01 18:19:08 +0200
291,2016-09-01 18:24:39 +0200,253,2016-09-01 18:42:45 +0200
291,2016-09-01 18:28:35 +0200,196,2016-09-01 18:48:45 +0200
291,2016-09-01 18:29:05 +0200,196,2016-09-01 18:48:49 +0200
291,2016-09-01 18:32:54 +0200,291,2016-09-01 18:36:46 +0200
291,2016-09-01 18:32:54 +0200,291,2016-09-01 18:36:46 +0200
291,2016-09-01 18:33:07 +0200,195,2016-09-01 18:48:08 +0200
291,2016-09-01 18:37:00 +0200,291,2016-09-01 18:37:11 +0200
291,2016-09-01 18:37:00 +0200,291,2016-09-01 18:37:11 +0200
291,2016-09-01 18:37:17 +0200,291,2016-09-01 18:38:10 +0200
291,2016-09-01 18:37:17 +0200,291,2016-09-01 18:38:10 +0200
291,2016-09-01 18:38:14 +0200,185,2016-09-01 19:05:49 +0200
291,2016-09-01 18:41:20 +0200,195,2016-09-01 18:48:54 +0200
291,2016-09-01 18:41:54 +0200,162,2016-09-01 18:45:25 +0200
162,2016-09-01 18:43:13 +0200,291,2016-09-01 18:47:32 +0200
291,2016-09-01 18:47:19 +0200,232,2016-09-01 19:00:03 +0200
291,2016-09-01 18:47:42 +0200,232,2016-09-01 18:59:58 +0200
291,2016-09-01 18:51:03 +0200,233,2016-09-01 18:54:44 +0200
291,2016-09-01 18:51:23 +0200,275,2016-09-01 19:01:18 +0200
291,2016-09-01 18:51:47 +0200,183,2016-09-01 22:06:52 +0200
189,2016-09-01 18:53:10 +0200,291,2016-09-01 19:22:21 +0200
291,2016-09-01 18:55:07 +0200,232,2016-09-01 19:07:41 +0200
217,2016-09-01 19:29:46 +0200,291,2016-09-01 19:35:15 +0200
253,2016-09-01 19:35:32 +0200,291,2016-09-01 19:54:15 +0200
235,2016-09-01 19:37:08 +0200,291,2016-09-01 19:50:16 +0200
291,2016-09-01 19:54:35 +0200,269,2016-09-01 20:02:22 +0200
291,2016-09-01 19:55:33 +0200,264,2016-09-01 20:13:25 +0200
291,2016-09-01 19:55:36 +0200,264,2016-09-01 20:13:32 +0200
291,2016-09-01 19:55:39 +0200,283,2016-09-01 20:04:15 +0200
291,2016-09-01 19:55:52 +0200,264,2016-09-01 20:13:40 +0200
